,0
GarageCars,0.1953182730150607
GrLivArea,0.1829185271333362
YearBuilt,0.13300514086510448
TotalBsmtSF,0.08120705141925641
FullBath,0.044005046412194014
GarageArea,0.03969550552417195
BsmtFinSF1,0.025161767306593065
2ndFlrSF,0.022424947939833923
BsmtQual_Ex,0.021676381532766898
LotArea,0.020989958243873442
KitchenQual_TA,0.020823638003509438
YearRemodAdd,0.018301824257627348
GarageYrBlt,0.015799859163512273
KitchenQual_Ex,0.012380013100980879
Fireplaces,0.010874892135053358
LotFrontage,0.010250838174632031
TotRmsAbvGrd,0.010140939618776495
GarageFinish_Unf,0.009478601266054364
MasVnrArea,0.006873368520159687
ExterQual_Gd,0.006265392299140208
OverallCond,0.006063658522517761
BsmtUnfSF,0.005773959948101475
OpenPorchSF,0.005702307093013286
BedroomAbvGr,0.004559448884851238
BsmtQual_TA,0.003780816497358932
WoodDeckSF,0.0036772093506598482
MoSold,0.003624266408493243
MSZoning_RL,0.0025738058725262893
BsmtQual_Gd,0.0025542751174000298
MSSubClass,0.002487570439474577
CentralAir_N,0.002235132953044798
Foundation_PConc,0.002211830290815354
ExterQual_Ex,0.002122110982985157
HalfBath,0.0021033752869759003
GarageType_Attchd,0.002005480785503957
BsmtFullBath,0.001906265076771484
BsmtFinType1_GLQ,0.0017754954252184314
YrSold,0.001698392347774758
MSZoning_RM,0.0016822150302619144
GarageType_Detchd,0.0016624028277212365
KitchenQual_Gd,0.001521898998417673
ScreenPorch,0.0013867274641304616
MSZoning_C (all),0.001334103507985585
EnclosedPorch,0.0010773700161019696
Neighborhood_Edwards,0.0010637874973981193
BsmtExposure_Gd,0.00106065373324981
RoofStyle_Gable,0.0010131884986869658
Neighborhood_OldTown,0.0009888467228181981
LandContour_Bnk,0.0008887720065294379
BsmtExposure_No,0.0008819446211722767
RoofMatl_CompShg,0.0008580717883774846
LotShape_IR1,0.0008389497586452738
Neighborhood_NoRidge,0.0008248544946837457
Neighborhood_Crawfor,0.0008216366484720056
BsmtFinType1_Unf,0.0008123587049016611
HeatingQC_Ex,0.0007868980152147234
Exterior1st_VinylSd,0.000737654778819214
KitchenAbvGr,0.0007238085041297992
GarageFinish_Fin,0.0007197409285119503
SaleCondition_Normal,0.0007153827000065462
Exterior1st_MetalSd,0.0007035694626673411
LandContour_Lvl,0.0006674674212711883
Exterior1st_BrkFace,0.0006452996435614287
BsmtFinSF2,0.0006366321339568089
Neighborhood_Somerst,0.0006274965618121119
SaleCondition_Abnorml,0.000623264287827953
MasVnrType_Stone,0.0006193453064658237
Neighborhood_StoneBr,0.0006047623874928786
SaleType_WD,0.0005907728823578621
Exterior1st_HdBoard,0.0005888676527583423
Exterior1st_CemntBd,0.0005473270112400831
GarageFinish_RFn,0.0005462994353810484
Condition1_Norm,0.0005391213353159214
Functional_Typ,0.0005235027361976308
HeatingQC_TA,0.000523219095542891
LotConfig_Corner,0.0005211492658375597
BldgType_1Fam,0.0005123491636069221
MasVnrType_None,0.00048415348809326147
LotShape_IR2,0.0004805807192053931
MasVnrType_BrkFace,0.00046846227928827827
BsmtExposure_Av,0.00044218417099124865
Neighborhood_CollgCr,0.0004370469333084814
Exterior1st_Wd Sdng,0.0004242784666531393
LotConfig_Inside,0.00039066363659672116
BsmtHalfBath,0.0003833968772263419
RoofMatl_WdShngl,0.0003832422722707737
SaleCondition_Family,0.00037375249520123455
BsmtFinType1_ALQ,0.00035839075910929055
PoolArea,0.000358351510910029
Exterior2nd_HdBoard,0.0003573248909766187
LandContour_HLS,0.00035729933799755903
LandSlope_Gtl,0.0003560802160613056
HouseStyle_2Story,0.0003558653772653358
HeatingQC_Gd,0.00034594341651781365
